Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/16/2022 15:44:42
Elapsed Time,00:00:59:998
Samples,20412

--Statistics--
Minimum [W],5.1409E-06
Maximum [W],1.3355E-05
Mean [W],9.9362E-06
Standard Deviation [W],2.3158E-06
Ratio,2.598 : 1

--Graph Data--
Time (ms),Power (W)
1198.752,8.9279E-06
1200.752,8.0058E-06
1203.752,7.2482E-06
1206.752,6.6135E-06
1208.752,6.0791E-06
1211.752,5.586E-06
1214.752,5.974E-06
1217.752,7.6597E-06
1220.752,9.0789E-06
1223.752,1.0089E-05
1225.752,1.0921E-05
1228.752,1.1435E-05
1231.752,9.976E-06
1233.752,1.0963E-05
1236.752,1.174E-05
1239.752,1.2305E-05
1241.752,1.2778E-05
1244.752,1.2547E-05
1248.752,1.0802E-05
1251.752,1.1423E-05
1254.452,1.2138E-05
1258.452,1.2917E-05
1261.452,1.1142E-05
1264.452,9.588E-06
1267.452,8.404E-06
1270.452,7.5661E-06
1272.452,6.8741E-06
1275.452,6.2252E-06
1278.452,5.7527E-06
1281.452,5.3305E-06
1284.452,6.8602E-06
1287.452,8.3122E-06
1289.452,9.4596E-06
1292.452,1.04E-05
1295.452,1.1181E-05
1298.452,1.0699E-05
1300.452,1.052E-05
1303.452,1.1431E-05
1306.452,1.2067E-05
1308.452,1.2576E-05
1311.452,1.3005E-05
1314.452,1.1877E-05
1316.452,1.0418E-05
1319.452,1.1478E-05
1322.452,1.2182E-05
1325.452,1.2734E-05
1327.452,1.2999E-05
1330.452,1.1196E-05
1333.452,9.6197E-06
1336.452,8.5393E-06
1339.452,7.5827E-06
1342.452,6.75E-06
1345.452,6.1989E-06
1347.452,5.7312E-06
1350.452,5.3459E-06
1353.452,7.1271E-06
1356.452,8.5197E-06
1358.452,9.629E-06
1363.452,1.1213E-05
1366.452,1.0961E-05
1369.452,1.0567E-05
1372.452,1.147E-05
1374.452,1.2099E-05
1377.684,1.2605E-05
1382.684,1.2071E-05
1385.684,1.0519E-05
1388.684,1.1474E-05
1390.684,1.2179E-05
1393.684,1.2732E-05
1396.684,1.29E-05
1399.684,1.091E-05
1402.684,9.4258E-06
1404.684,8.398E-06
1407.684,7.5577E-06
1410.684,6.8702E-06
1413.684,6.2297E-06
1416.684,5.6443E-06
1419.684,5.2865E-06
1421.684,7.1138E-06
1424.684,8.5088E-06
1428.684,9.6194E-06
1431.684,1.093E-05
1434.684,1.1185E-05
1436.684,1.0021E-05
1439.684,1.1066E-05
1442.684,1.1808E-05
1444.684,1.236E-05
1447.684,1.2824E-05
1450.684,1.2526E-05
1452.684,1.0789E-05
1455.684,1.1037E-05
1458.684,1.1846E-05
1460.684,1.2468E-05
1463.684,1.2963E-05
1466.684,1.1832E-05
1468.684,1.0248E-05
1471.684,9.0493E-06
1474.684,8.0828E-06
1476.684,7.2926E-06
1479.684,6.6549E-06
1482.684,6.1289E-06
1484.684,5.6811E-06
1487.684,5.2943E-06
1490.684,6.9127E-06
1493.684,8.5085E-06
1496.684,9.7441E-06
1499.684,1.0736E-05
1503.063,1.1542E-05
1507.063,1.0088E-05
1510.063,1.1404E-05
1513.063,1.212E-05
1515.063,1.2622E-05
1518.063,1.3043E-05
1521.063,1.1817E-05
1523.063,1.0441E-05
1526.063,1.1504E-05
1530.063,1.2278E-05
1533.063,1.2928E-05
1536.063,1.1895E-05
1538.063,1.0292E-05
1541.063,9.0916E-06
1544.063,8.0305E-06
1547.063,7.2585E-06
1549.063,6.6186E-06
1552.063,6.0905E-06
1555.063,5.5848E-06
1558.063,5.765E-06
1561.063,7.5088E-06
1563.063,8.8195E-06
1566.063,9.873E-06
1569.063,1.0743E-05
1571.063,1.1467E-05
1574.063,1.0137E-05
1577.063,1.0951E-05
1580.063,1.1735E-05
1582.063,1.2303E-05
1585.063,1.2774E-05
1588.063,1.2734E-05
1591.063,1.0771E-05
1594.063,1.1055E-05
1596.063,1.186E-05
1599.063,1.248E-05
1602.063,1.2973E-05
1605.063,1.1527E-05
1607.063,1.0019E-05
1610.063,8.866E-06
1613.063,7.8406E-06
1618.063,6.4752E-06
1621.063,5.9208E-06
1624.063,5.5114E-06
1627.088,6.0341E-06
1631.088,7.6993E-06
1635.088,9.8769E-06
1637.088,1.0745E-05
1640.088,1.147E-05
1643.088,1.0222E-05
1645.088,1.0775E-05
1648.088,1.1608E-05
1651.088,1.2266E-05
1655.088,1.2798E-05
1657.088,1.2209E-05
1660.088,1.0398E-05
