Source,CH1
Second,Volt
-0.39720000000,0.10000,
-0.39712000000,0.08800,
-0.39703996875,0.08800,
-0.39696000000,0.09600,
-0.39688000000,0.09600,
-0.39679996875,0.10000,
-0.39672000000,0.08800,
-0.39664000000,0.10400,
-0.39655996875,0.08800,
-0.39648000000,0.07600,
-0.39640000000,0.09200,
-0.39632000000,0.08400,
-0.39624000000,0.09200,
-0.39615996875,0.10400,
-0.39608000000,0.09200,
-0.39600000000,0.09200,
-0.39591996875,0.10800,
-0.39584000000,0.10400,
-0.39576000000,0.08400,
-0.39567996875,0.09600,
-0.39560000000,0.09200,
-0.39552000000,0.09200,
-0.39543996875,0.35600,
-0.39536000000,0.40400,
-0.39528000000,0.32000,
-0.39519996875,0.28000,
-0.39512000000,0.27200,
-0.39503996875,0.30000,
-0.39496000000,0.30000,
-0.39488000000,0.26000,
-0.39479996875,0.30000,
-0.39472000000,0.27600,
-0.39464000000,0.29600,
-0.39455996875,0.28000,
-0.39448000000,0.27200,
-0.39440000000,0.29200,
-0.39431996875,0.28800,
-0.39424000000,0.27200,
-0.39416000000,0.30000,
-0.39407996875,0.28800,
-0.39400000000,0.29200,
-0.39392000000,0.28400,
-0.39384000000,0.28000,
-0.39376000000,0.28400,
-0.39367996875,0.28400,
-0.39360000000,0.28000,
-0.39352000000,0.28800,
-0.39343996875,0.28400,
-0.39336000000,0.29200,
-0.39328000000,0.28800,
-0.39319996875,0.27600,
-0.39312000000,0.28400,
-0.39304000000,0.28400,
-0.39295996875,0.26400,
-0.39288000000,0.28800,
-0.39280000000,0.25200,
-0.39271996875,0.28400,
-0.39264000000,0.27600,
-0.39255996875,0.27200,
-0.39248000000,0.28800,
-0.39240000000,0.28400,
-0.39231996875,0.28800,
-0.39224000000,0.28800,
-0.39216000000,0.28400,
-0.39207996875,0.27600,
-0.39200000000,0.28000,
-0.39192000000,0.29200,
-0.39183996875,0.29200,
-0.39176000000,0.24800,
-0.39168000000,0.28400,
-0.39159996875,0.28800,
-0.39152000000,0.28400,
-0.39144000000,0.28400,
-0.39136000000,0.28000,
-0.39128000000,0.29600,
-0.39119996875,0.29200,
-0.39112000000,0.27200,
-0.39104000000,0.28400,
-0.39095996875,0.28400,
-0.39088000000,0.29200,
-0.39080000000,0.28400,
-0.39071996875,0.28400,
-0.39064000000,0.28800,
-0.39056000000,0.29200,
-0.39047996875,0.28800,
-0.39040000000,0.27600,
-0.39032000000,0.27600,
-0.39023996875,0.30000,
-0.39016000000,0.28800,
-0.39008000000,0.26800,
-0.39000000000,0.28400,
-0.38992000000,0.30000,
-0.38983996875,0.28800,
-0.38976000000,0.26800,
-0.38968000000,0.28400,
-0.38959996875,0.28800,
-0.38952000000,0.28400,
-0.38944000000,0.30000,
-0.38935996875,0.20800,
-0.38928000000,0.10400,
-0.38920000000,0.06000,
-0.38911996875,0.08000,
-0.38904000000,0.10400,
-0.38896000000,0.09600,
-0.38888000000,0.09600,
-0.38880000000,0.10000,
-0.38871996875,0.08000,
-0.38864000000,0.10400,
-0.38856000000,0.09600,
-0.38847996875,0.08800,
-0.38840000000,0.10400,
-0.38832000000,0.09600,
-0.38823996875,0.08800,
-0.38816000000,0.08800,
-0.38808000000,0.10400,
-0.38799996875,0.09200,
-0.38792000000,0.08000,
-0.38784000000,0.08400,
-0.38775996875,0.08400,
-0.38768000000,0.07600,
-0.38760000000,0.08800,
-0.38752000000,0.07200,
-0.38744000000,0.10400,
-0.38735996875,0.08800,
-0.38728000000,0.06000,
-0.38720000000,0.09600,
-0.38711996875,0.09600,
-0.38704000000,0.08800,
-0.38696000000,0.09600,
-0.38687996875,0.10000,
-0.38680000000,0.10400,
-0.38672000000,0.09200,
-0.38663996875,0.09600,
-0.38656000000,0.10400,
-0.38648000000,0.09600,
-0.38639996875,0.08800,
-0.38632000000,0.10400,
-0.38623996875,0.09200,
-0.38616000000,0.09600,
-0.38608000000,0.08800,
-0.38599996875,0.09600,
-0.38592000000,0.09200,
-0.38584000000,0.09600,
-0.38575996875,0.10400,
-0.38568000000,0.09200,
-0.38560000000,0.10400,
-0.38551996875,0.09600,
-0.38544000000,0.08800,
-0.38536000000,0.08800,
-0.38527996875,0.10400,
-0.38520000000,0.10000,
-0.38512000000,0.09600,
-0.38504000000,0.09600,
-0.38496000000,0.09600,
-0.38487996875,0.10800,
-0.38480000000,0.08800,
-0.38472000000,0.08800,
-0.38463996875,0.09200,
-0.38456000000,0.09600,
-0.38448000000,0.08800,
-0.38439996875,0.09200,
-0.38432000000,0.09200,
-0.38424000000,0.09600,
-0.38415996875,0.09600,
-0.38408000000,0.09200,
-0.38400000000,0.09200,
-0.38391996875,0.09600,
-0.38384000000,0.08800,
-0.38375996875,0.09600,
-0.38368000000,0.09600,
-0.38360000000,0.06000,
-0.38351996875,0.08800,
-0.38344000000,0.08800,
-0.38336000000,0.17600,
-0.38327996875,0.29200,
-0.38320000000,0.35200,
-0.38312000000,0.45600,
-0.38303996875,0.40400,
-0.38296000000,0.38400,
-0.38288000000,0.43600,
-0.38279996875,0.36000,
-0.38272000000,0.44800,
-0.38264000000,0.38800,
-0.38256000000,0.30000,
-0.38248000000,0.28800,
-0.38239996875,0.30400,
-0.38232000000,0.30400,
-0.38224000000,0.43600,
-0.38215996875,0.43200,
-0.38208000000,0.30800,
-0.38200000000,0.30000,
-0.38191996875,0.45200,
-0.38184000000,0.40400,
-0.38176000000,0.30800,
-0.38167996875,0.28800,
-0.38160000000,0.29600,
-0.38152000000,0.30400,
-0.38143996875,0.30400,
-0.38136000000,0.28800,
-0.38128000000,0.29200,
-0.38120000000,0.31600,
-0.38112000000,0.46800,
-0.38103996875,0.39600,
-0.38096000000,0.37200,
-0.38088000000,0.43200,
-0.38079996875,0.35200,
-0.38072000000,0.44400,
-0.38064000000,0.38000,
-0.38055996875,0.28800,
-0.38048000000,0.28400,
-0.38040000000,0.28800,
