Serial Number,SDS101P2150051
Software Version,5.01.02.30
-0.04422,0.688
-0.0442,0.688
-0.044179997,0.68
-0.044159997,0.704
-0.04414,0.704
-0.04412,0.704
-0.044099997,0.72
-0.04408,0.704
-0.04406,0.736
-0.044039997,0.728
-0.044019997,0.736
-0.044,0.736
-0.04398,0.728
-0.043959997,0.728
-0.04394,0.704
-0.04392,0.704
-0.043899997,0.704
-0.04388,0.688
-0.04386,0.696
-0.04384,0.688
-0.043819997,0.656
-0.0438,0.672
-0.04378,0.656
-0.043759997,0.648
-0.04374,0.648
-0.04372,0.624
-0.043699997,0.616
-0.043679997,0.608
-0.04366,0.592
-0.04364,0.6
-0.043619997,0.576
-0.0436,0.576
-0.04358,0.584
-0.043559997,0.576
-0.043539997,0.584
-0.04352,0.584
-0.0435,0.584
-0.043479997,0.584
-0.04346,0.592
-0.04344,0.592
-0.043419997,0.576
-0.043399997,0.576
-0.04338,0.584
-0.04336,0.552
-0.043339997,0.552
-0.04332,0.552
-0.0433,0.528
-0.043279997,0.544
-0.04326,0.528
-0.04324,0.528
-0.04322,0.528
-0.043199997,0.52
-0.04318,0.528
-0.04316,0.52
-0.043139997,0.528
-0.04312,0.528
-0.0431,0.544
-0.043079997,0.528
-0.043059997,0.544
-0.04304,0.544
-0.04302,0.552
-0.042999997,0.576
-0.04298,0.576
-0.04296,0.592
-0.042939997,0.616
-0.042919997,0.624
-0.0429,0.64
-0.04288,0.672
-0.042859997,0.688
-0.04284,0.688
-0.04282,0.688
-0.042799997,0.688
-0.04278,0.688
-0.04276,0.672
-0.04274,0.672
-0.042719997,0.648
-0.0427,0.648
-0.04268,0.632
-0.042659997,0.616
-0.04264,0.616
-0.04262,0.6
-0.042599997,0.584
-0.042579997,0.592
-0.04256,0.576
-0.04254,0.56
-0.042519997,0.56
-0.0425,0.544
-0.04248,0.544
-0.042459997,0.544
-0.042439997,0.536
-0.04242,0.528
-0.0424,0.528
-0.042379997,0.528
-0.04236,0.528
-0.04234,0.52
-0.042319997,0.52
-0.0423,0.528
-0.04228,0.528
-0.04226,0.512
-0.042239997,0.528
-0.04222,0.512
-0.0422,0.512
-0.042179997,0.512
-0.04216,0.488
-0.04214,0.488
-0.04212,0.472
-0.042099997,0.472
-0.04208,0.472
-0.04206,0.472
-0.042039997,0.464
-0.04202,0.456
-0.042,0.448
-0.041979997,0.44
-0.041959997,0.44
-0.04194,0.44
-0.04192,0.432
-0.041899997,0.424
-0.04188,0.416
-0.04186,0.416
-0.041839997,0.424
-0.041819997,0.416
-0.0418,0.408
-0.04178,0.408
-0.041759997,0.408
-0.04174,0.4
-0.04172,0.408
-0.041699997,0.392
-0.04168,0.384
-0.04166,0.392
-0.04164,0.384
-0.041619997,0.384
-0.0416,0.392
-0.04158,0.392
-0.041559997,0.392
-0.04154,0.408
-0.04152,0.408
-0.041499997,0.4
-0.041479997,0.408
-0.04146,0.408
-0.04144,0.416
-0.041419997,0.424
-0.0414,0.416
-0.04138,0.416
-0.041359997,0.432
-0.041339997,0.424
-0.04132,0.424
-0.0413,0.44
-0.041279997,0.44
-0.04126,0.44
-0.04124,0.44
-0.041219997,0.448
-0.0412,0.456
-0.04118,0.472
-0.04116,0.48
-0.041139997,0.512
-0.04112,0.52
-0.0411,0.528
-0.041079997,0.544
-0.04106,0.552
-0.04104,0.56
-0.04102,0.576
-0.040999997,0.576
-0.04098,0.6
-0.04096,0.616
-0.040939997,0.616
-0.04092,0.64
-0.0409,0.648
-0.040879997,0.648
-0.040859997,0.664
-0.04084,0.672
-0.04082,0.672
-0.040799997,0.648
-0.04078,0.648
-0.04076,0.616
-0.040739997,0.608
-0.040719997,0.592
-0.0407,0.576
-0.04068,0.56
-0.040659997,0.544
-0.04064,0.528
-0.04062,0.512
-0.040599997,0.488
-0.04058,0.472
-0.04056,0.472
-0.04054,0.456
-0.040519997,0.44
-0.0405,0.432
-0.04048,0.416
-0.040459997,0.4
-0.04044,0.4
-0.04042,0.384
-0.040399997,0.368
-0.040379997,0.36
-0.04036,0.352
-0.04034,0.344
-0.040319997,0.328
-0.0403,0.32
-0.04028,0.312
-0.040259997,0.312
-0.040239997,0.288
-0.04022,0.288
-0.0402,0.288
-0.040179997,0.28
-0.04016,0.272
-0.04014,0.264
-0.040119997,0.256
-0.0401,0.256
-0.04008,0.248
-0.04006,0.224
-0.040039997,0.224
-0.04002,0.224
-0.04,0.216
-0.039979997,0.208
-0.03996,0.208
-0.03994,0.192
-0.03992,0.184
-0.039899997,0.192
-0.03988,0.176
-0.03986,0.184
-0.039839997,0.184
-0.03982,0.168
-0.0398,0.184
-0.039779997,0.16
-0.039759997,0.152
-0.03974,0.16
-0.03972,0.152
-0.039699997,0.152
-0.03968,0.152
-0.03966,0.144
-0.039639997,0.144
-0.039619997,0.144
-0.0396,0.128
-0.03958,0.128
-0.039559997,0.128
-0.03954,0.128
-0.03952,0.128
-0.039499997,0.112
-0.03948,0.12
-0.03946,0.12
-0.03944,0.112
-0.039419997,0.12
-0.0394,0.12
-0.03938,0.112
-0.039359997,0.112
-0.03934,0.104
-0.03932,0.096
-0.039299997,0.104
-0.039279997,0.104
-0.03926,0.096
-0.03924,0.088
-0.039219997,0.096
-0.0392,0.088
-0.03918,0.08
-0.039159997,0.096
-0.039139997,0.096
-0.03912,0.08
-0.0391,0.096
-0.039079997,0.088
-0.03906,0.08
-0.03904,0.08
-0.039019997,0.08
-0.039,0.08
-0.03898,0.08
-0.03896,0.072
-0.038939997,0.08
-0.03892,0.072
-0.0389,0.08
-0.038879997,0.08
-0.03886,0.064
-0.03884,0.08
-0.03882,0.08
-0.038799997,0.08
-0.03878,0.08
-0.03876,0.064
-0.038739997,0.08
-0.03872,0.072
-0.0387,0.056
-0.038679997,0.072
-0.038659997,0.064
-0.03864,0.064
-0.03862,0.064
-0.038599997,0.056
-0.03858,0.064
-0.03856,0.064
-0.038539997,0.056
-0.03852,0.064
-0.0385,0.064
-0.03848,0.056
-0.038459997,0.072
-0.03844,0.056
-0.03842,0.056
-0.038399997,0.056
-0.03838,0.056
-0.03836,0.056
-0.03834,0.056
-0.038319997,0.048
-0.0383,0.056
-0.03828,0.056
-0.038259997,0.048
-0.03824,0.048
-0.03822,0.056
-0.0382,0.056
-0.038179997,0.056
-0.03816,0.056
-0.03814,0.048
-0.038119997,0.064
-0.0381,0.056
-0.03808,0.048
-0.038059997,0.032
-0.038039997,0.064
-0.03802,0.048
-0.038,0.048
-0.037979997,0.056
-0.03796,0.048
-0.03794,0.056
-0.037919997,0.056
-0.0379,0.056
-0.03788,0.064
-0.03786,0.048
-0.037839997,0.048
-0.03782,0.048
-0.0378,0.048
-0.037779997,0.04
-0.03776,0.048
-0.03774,0.056
-0.03772,0.056
-0.037699997,0.056
-0.03768,0.056
-0.03766,0.048
-0.037639997,0.048
-0.03762,0.048
-0.0376,0.056
-0.037579997,0.048
-0.037559997,0.04
-0.03754,0.048
-0.03752,0.048
-0.037499997,0.048
-0.03748,0.056
-0.03746,0.048
-0.037439997,0.048
-0.03742,0.048
-0.0374,0.056
-0.03738,0.04
-0.037359997,0.048
-0.03734,0.056
-0.03732,0.048
-0.037299997,0.04
-0.03728,0.048
-0.03726,0.048
-0.03724,0.048
-0.037219997,0.048
-0.0372,0.04
-0.03718,0.048
-0.037159997,0.048
-0.03714,0.048
-0.03712,0.04
-0.0371,0.048
-0.037079997,0.048
-0.03706,0.048
-0.03704,0.048
-0.037019997,0.048
-0.037,0.048
-0.03698,0.04
-0.036959997,0.056
-0.036939997,0.04
-0.03692,0.048
-0.0369,0.056
-0.036879997,0.048
-0.03686,0.048
-0.03684,0.048
-0.036819997,0.048
-0.0368,0.04
-0.03678,0.048
-0.03676,0.048
-0.036739997,0.048
-0.03672,0.056
-0.0367,0.048
-0.036679997,0.04
-0.03666,0.064
-0.03664,0.048
-0.03662,0.048
-0.036599997,0.04
-0.03658,0.048
-0.03656,0.04
-0.036539997,0.048
-0.03652,0.048
-0.0365,0.048
-0.036479997,0.048
-0.036459997,0.032
-0.03644,0.048
-0.03642,0.04
-0.036399997,0.048
-0.03638,0.056
-0.03636,0.04
-0.036339997,0.048
-0.03632,0.056
-0.0363,0.04
-0.03628,0.048
-0.036259997,0.048
-0.03624,0.048
-0.03622,0.04
-0.036199997,0.048
-0.03618,0.048
-0.03616,0.04
-0.03614,0.048
-0.036119997,0.048
-0.0361,0.04
-0.03608,0.048
-0.036059997,0.048
-0.03604,0.048
-0.03602,0.048
-0.036,0.048
-0.035979997,0.048
-0.03596,0.048
-0.03594,0.048
-0.035919997,0.032
-0.0359,0.048
-0.03588,0.032
-0.035859997,0.048
-0.03584,0.048
-0.03582,0.048
-0.0358,0.056
-0.035779997,0.048
-0.03576,0.048
-0.03574,0.056
-0.035719997,0.048
-0.0357,0.048
-0.03568,0.048
-0.03566,0.048
-0.035639997,0.048
-0.03562,0.048
-0.0356,0.056
-0.035579997,0.048
-0.03556,0.048
-0.03554,0.048
-0.03552,0.048
-0.035499997,0.048
-0.03548,0.048
-0.03546,0.048
-0.035439997,0.048
-0.03542,0.048
-0.0354,0.048
-0.035379997,0.04
-0.035359997,0.048
-0.03534,0.048
-0.03532,0.04
-0.035299997,0.048
-0.03528,0.056
-0.03526,0.048
-0.035239997,0.048
-0.03522,0.048
-0.0352,0.056
-0.03518,0.048
-0.035159997,0.048
-0.03514,0.056
-0.03512,0.048
-0.035099997,0.048
-0.03508,0.056
-0.03506,0.048
-0.03504,0.056
-0.035019997,0.048
-0.035,0.032
-0.03498,0.056
-0.034959997,0.048
-0.03494,0.048
-0.03492,0.048
-0.0349,0.048
-0.034879997,0.048
-0.03486,0.056
-0.03484,0.048
-0.034819997,0.056
-0.0348,0.048
-0.03478,0.048
-0.034759997,0.048
-0.03474,0.056
-0.03472,0.048
-0.0347,0.056
-0.034679997,0.048
-0.03466,0.048
-0.03464,0.048
-0.034619997,0.048
-0.0346,0.048
-0.03458,0.056
-0.03456,0.056
-0.034539997,0.048
-0.03452,0.056
-0.0345,0.056
-0.034479997,0.048
-0.03446,0.056
-0.03444,0.048
-0.03442,0.048
-0.034399997,0.048
-0.03438,0.048
-0.03436,0.048
-0.034339997,0.056
-0.03432,0.048
-0.0343,0.048
-0.034279997,0.048
-0.034259997,0.048
-0.03424,0.048
-0.03422,0.048
-0.034199997,0.048
-0.03418,0.048
-0.03416,0.056
-0.034139997,0.048
-0.03412,0.048
-0.0341,0.056
-0.03408,0.048
-0.034059997,0.048
-0.03404,0.048
-0.03402,0.048
-0.033999997,0.056
-0.03398,0.056
-0.03396,0.04
-0.03394,0.048
-0.033919997,0.056
-0.0339,0.048
-0.03388,0.056
-0.033859997,0.048
-0.03384,0.048
-0.03382,0.056
-0.0338,0.048
-0.033779997,0.048
-0.03376,0.048
-0.03374,0.056
-0.033719997,0.048
-0.0337,0.04
-0.03368,0.056
-0.033659997,0.048
-0.03364,0.048
-0.03362,0.056
-0.0336,0.032
-0.033579997,0.048
-0.03356,0.048
-0.03354,0.056
-0.033519997,0.048
-0.0335,0.048
-0.03348,0.064
-0.03346,0.048
-0.033439997,0.048
-0.03342,0.056
-0.0334,0.056
-0.033379997,0.056
-0.03336,0.056
-0.03334,0.056
-0.03332,0.048
-0.033299997,0.048
-0.03328,0.056
-0.03326,0.048
-0.033239997,0.048
-0.03322,0.056
-0.0332,0.048
-0.033179997,0.048
-0.033159997,0.056
-0.03314,0.032
-0.03312,0.048
-0.033099997,0.048
-0.03308,0.048
-0.03306,0.048
-0.033039997,0.048
-0.03302,0.064
-0.033,0.056
-0.03298,0.048
-0.032959997,0.056
-0.03294,0.056
-0.03292,0.048
-0.032899997,0.056
-0.03288,0.048
-0.03286,0.048
-0.03284,0.064
-0.032819997,0.056
-0.0328,0.056
-0.03278,0.064
-0.032759997,0.08
-0.03274,0.08
-0.03272,0.08
-0.0327,0.096
-0.032679997,0.088
-0.03266,0.096
-0.03264,0.112
-0.032619997,0.096
-0.0326,0.12
-0.03258,0.136
-0.032559997,0.112
-0.03254,0.144
-0.03252,0.144
-0.0325,0.136
-0.032479997,0.152
-0.03246,0.144
-0.03244,0.152
-0.032419997,0.16
-0.0324,0.16
-0.03238,0.176
-0.03236,0.16
-0.032339997,0.168
-0.03232,0.176
-0.0323,0.176
-0.032279997,0.176
-0.03226,0.192
-0.03224,0.168
-0.03222,0.184
-0.032199997,0.192
-0.03218,0.176
-0.03216,0.192
-0.032139997,0.2
-0.03212,0.2
-0.0321,0.2
-0.032079997,0.208
-0.03206,0.224
-0.03204,0.208
-0.03202,0.216
-0.031999997,0.216
-0.03198,0.216
-0.03196,0.216
-0.031939997,0.216
-0.03192,0.216
-0.0319,0.224
-0.03188,0.224
-0.031859997,0.216
-0.03184,0.248
-0.03182,0.232
-0.031799997,0.248
-0.03178,0.248
-0.03176,0.248
-0.03174,0.232
-0.031719997,0.248
-0.0317,0.248
-0.03168,0.264
-0.031659997,0.256
-0.03164,0.256
-0.03162,0.256
-0.0316,0.256
-0.031579997,0.248
-0.03156,0.256
-0.03154,0.256
-0.031519997,0.248
-0.0315,0.272
-0.03148,0.264
-0.031459997,0.256
-0.03144,0.264
-0.03142,0.264
-0.0314,0.256
-0.031379997,0.264
-0.03136,0.264
-0.03134,0.256
-0.031319997,0.28
-0.0313,0.272
-0.03128,0.264
-0.03126,0.28
