Source,CH1
Second,Volt
-0.00636800000,0.05600,
-0.00636000000,0.05600,
-0.00635200000,0.05600,
-0.00634400000,0.05600,
-0.00633600000,0.05600,
-0.00632800000,0.06400,
-0.00632000000,0.06400,
-0.00631200000,0.06400,
-0.00630400000,0.06400,
-0.00629600000,0.05600,
-0.00628800000,0.05600,
-0.00628000000,0.05600,
-0.00627200000,0.06400,
-0.00626400000,0.06400,
-0.00625600000,0.05600,
-0.00624800000,0.04800,
-0.00624000000,0.05600,
-0.00623200000,0.06400,
-0.00622400000,0.06400,
-0.00621600000,0.06400,
-0.00620800000,0.06400,
-0.00620000000,0.06400,
-0.00619200000,0.06400,
-0.00618400000,0.06400,
-0.00617600000,0.06400,
-0.00616800000,0.06400,
-0.00616000000,0.05600,
-0.00615200000,0.05600,
-0.00614400000,0.06400,
-0.00613600000,0.06400,
-0.00612800000,0.05600,
-0.00612000000,0.05600,
-0.00611200000,0.06400,
-0.00610400000,0.06400,
-0.00609600000,0.05600,
-0.00608800000,0.06400,
-0.00608000000,0.06400,
-0.00607200000,0.06400,
-0.00606400000,0.05600,
-0.00605600000,0.06400,
-0.00604800000,0.06400,
-0.00604000000,0.06400,
-0.00603200000,0.04800,
-0.00602400000,0.06400,
-0.00601600000,0.06400,
-0.00600800000,0.07200,
-0.00600000000,0.05600,
-0.00599200000,0.06400,
-0.00598400000,0.06400,
-0.00597600000,0.06400,
-0.00596800000,0.06400,
-0.00596000000,0.06400,
-0.00595200000,0.06400,
-0.00594400000,0.06400,
-0.00593600000,0.06400,
-0.00592800000,0.06400,
-0.00592000000,0.06400,
-0.00591200000,0.05600,
-0.00590400000,0.06400,
-0.00589600000,0.06400,
-0.00588800000,0.06400,
-0.00588000000,0.06400,
-0.00587200000,0.06400,
-0.00586400000,0.06400,
-0.00585600000,0.06400,
-0.00584800000,0.06400,
-0.00584000000,0.06400,
-0.00583200000,0.07200,
-0.00582400000,0.06400,
-0.00581600000,0.05600,
-0.00580800000,0.06400,
-0.00580000000,0.06400,
-0.00579200000,0.06400,
-0.00578400000,0.06400,
-0.00577600000,0.06400,
-0.00576800000,0.07200,
-0.00576000000,0.05600,
-0.00575200000,0.07200,
-0.00574400000,0.06400,
-0.00573600000,0.06400,
-0.00572800000,0.05600,
-0.00572000000,0.07200,
-0.00571200000,0.06400,
-0.00570400000,0.06400,
-0.00569600000,0.06400,
-0.00568800000,0.06400,
-0.00568000000,0.06400,
-0.00567200000,0.06400,
-0.00566400000,0.05600,
-0.00565600000,0.06400,
-0.00564800000,0.06400,
-0.00564000000,0.06400,
-0.00563200000,0.05600,
-0.00562400000,0.05600,
-0.00561600000,0.06400,
-0.00560800000,0.06400,
-0.00560000000,0.06400,
-0.00559200000,0.06400,
-0.00558400000,0.07200,
-0.00557600000,0.05600,
-0.00556800000,0.07200,
-0.00556000000,0.06400,
-0.00555200000,0.06400,
-0.00554400000,0.05600,
-0.00553600000,0.06400,
-0.00552800000,0.06400,
-0.00552000000,0.06400,
-0.00551200000,0.06400,
-0.00550400000,0.07200,
-0.00549600000,0.06400,
-0.00548800000,0.06400,
-0.00548000000,0.06400,
-0.00547200000,0.06400,
-0.00546400000,0.06400,
-0.00545600000,0.06400,
-0.00544800000,0.06400,
-0.00544000000,0.06400,
-0.00543200000,0.06400,
-0.00542400000,0.06400,
-0.00541600000,0.06400,
-0.00540800000,0.06400,
-0.00540000000,0.06400,
-0.00539200000,0.06400,
-0.00538400000,0.06400,
-0.00537600000,0.06400,
-0.00536800000,0.06400,
-0.00536000000,0.05600,
-0.00535200000,0.08000,
-0.00534400000,0.06400,
-0.00533600000,0.05600,
-0.00532800000,0.05600,
-0.00532000000,0.06400,
-0.00531200000,0.06400,
-0.00530400000,0.06400,
-0.00529600000,0.05600,
-0.00528800000,0.05600,
-0.00528000000,0.05600,
-0.00527200000,0.05600,
-0.00526400000,0.05600,
-0.00525600000,0.05600,
-0.00524800000,0.05600,
-0.00524000000,0.06400,
-0.00523199969,0.06400,
-0.00522400031,0.07200,
-0.00521600000,0.05600,
-0.00520800000,0.06400,
-0.00520000000,0.07200,
-0.00519200000,0.06400,
-0.00518400000,0.05600,
-0.00517599969,0.05600,
-0.00516799969,0.06400,
-0.00516000031,0.06400,
-0.00515200000,0.06400,
-0.00514400000,0.05600,
-0.00513600000,0.05600,
-0.00512800000,0.06400,
-0.00512000000,0.05600,
-0.00511199969,0.06400,
-0.00510400031,0.05600,
-0.00509600000,0.06400,
-0.00508800000,0.05600,
-0.00508000000,0.06400,
-0.00507200000,0.06400,
-0.00506400000,0.06400,
-0.00505600000,0.05600,
-0.00504799969,0.05600,
-0.00504000031,0.06400,
-0.00503200000,0.05600,
-0.00502400000,0.05600,
-0.00501600000,0.07200,
-0.00500800000,0.06400,
-0.00500000000,0.06400,
-0.00499199969,0.05600,
-0.00498399969,0.06400,
-0.00497600031,0.06400,
-0.00496800000,0.05600,
-0.00496000000,0.06400,
-0.00495200000,0.06400,
-0.00494400000,0.07200,
